muleID,startTime,endTime,numberOfRuns,filesRead,dataVolume,documentCalls,loadDuration,getResultDuration
861,1734093586272,1734093780561,10,1960,282240,2937,139816,53993
862,1734093586273,1734093780596,10,1968,283392,2949,137623,56124
863,1734093586273,1734093780507,10,1944,279936,2913,139667,54149
864,1734093586273,1734093780495,11,2008,289152,3009,138750,55055
865,1734093586272,1734093780581,10,1956,281664,2931,139048,54758
866,1734093586182,1734093780446,10,1978,284832,2964,139320,54600
867,1734093586222,1734093780614,10,1926,277344,2886,139889,54238
868,1734093586278,1734093780542,10,1978,284832,2964,138272,55577
869,1734093586272,1734093780555,10,1970,283680,2952,139318,54549
870,1734093586272,1734093780351,10,1928,277632,2889,140126,53527
871,1734093586272,1734093780540,10,1956,281664,2931,140578,53275
872,1734093586272,1734093780265,10,1962,282528,2940,138014,55464
873,1734093586272,1734093780532,10,1942,279648,2910,139509,54211
874,1734093586272,1734093780426,15,2956,425664,4431,136214,57520
875,1734093586225,1734093780167,15,2944,423936,4413,135985,57758
876,1734093586272,1734093780494,15,2942,423648,4410,135733,58006
877,1734093586272,1734093780462,15,2932,422208,4395,136715,57057
878,1734093586272,1734093780494,16,3006,432864,4506,135904,57912
879,1734093586272,1734093780560,16,3002,432288,4500,135800,58070
880,1734093586243,1734093780492,10,1938,279072,2904,139797,54040
881,1734093586272,1734093780261,10,1970,283680,2952,139147,54421
882,1734093586271,1734093780551,11,2038,293472,3054,138000,55861
883,1734093586272,1734093780496,11,2012,289728,3015,139337,54470
884,1734093586266,1734093780166,10,1900,273600,2847,139308,54164
885,1734093586252,1734093780348,10,1954,281376,2928,138277,55399
886,1734093586272,1734093780578,10,1936,278784,2901,139336,54470
887,1734093586271,1734093780570,10,1874,269856,2808,140443,53378
888,1734093586243,1734093780534,10,1958,281952,2934,139590,54280
889,1734093586243,1734093780445,10,1922,276768,2880,140613,53160
890,1734093586271,1734093780619,11,2024,291456,3033,139902,53954
891,1734093586271,1734093780595,10,1898,273312,2844,139443,54345
892,1734093586271,1734093780569,10,1926,277344,2886,138942,54887
893,1734093586271,1734093780561,11,1992,286848,2985,137837,56002
894,1734093586244,1734093780497,15,2950,424800,4422,135947,57817
895,1734093586271,1734093780472,15,2946,424224,4416,135998,57751
896,1734093586271,1734093780480,16,3028,436032,4539,135525,58267
897,1734093586271,1734093780428,16,3002,432288,4500,135700,58038
898,1734093586271,1734093780482,15,2970,427680,4452,135971,57820
899,1734093586244,1734093780478,15,2970,427680,4452,135757,58057
900,1734093586245,1734093780595,10,1878,270432,2814,139950,53851
901,1734093586245,1734093780489,11,2024,291456,3033,138887,54939
902,1734093586271,1734093780549,10,1908,274752,2859,140791,53063
903,1734093586271,1734093780509,10,1980,285120,2967,138988,54831
904,1734093586245,1734093780619,11,1984,285696,2973,138837,55043
905,1734093586245,1734093780350,10,1918,276192,2874,139704,53980
906,1734093586271,1734093780568,10,1908,274752,2859,140499,53336
907,1734093586245,1734093780597,10,1914,275616,2868,140352,53437
908,1734093586245,1734093780622,10,1966,283104,2946,138785,55092
909,1734093586271,1734093780429,10,1946,280224,2916,139667,54075
910,1734093586271,1734093780622,10,1956,281664,2931,138208,55645
911,1734093586245,1734093780395,10,1928,277632,2889,140640,53090
912,1734093586271,1734093780596,10,1902,273888,2850,139654,54118
913,1734093586271,1734093780612,10,1948,280512,2919,139715,54156
914,1734093586271,1734093780378,16,2988,430272,4479,136045,57643
915,1734093586245,1734093780448,15,2936,422784,4401,136255,57528
916,1734093586270,1734093780459,16,3048,438912,4569,135378,58381
917,1734093586247,1734093780486,16,2984,429696,4473,136010,57808
918,1734093586270,1734093780473,15,2932,422208,4395,135891,57893
919,1734093586247,1734093780484,15,2938,423072,4404,135641,58127
920,1734093586278,1734093780520,10,1940,279360,2907,140060,53647
921,1734093586270,1734093780319,10,1974,284256,2958,139417,54209
922,1734093586270,1734093780386,10,1884,271296,2823,140849,52850
923,1734093586270,1734093780562,10,1904,274176,2853,140565,53310
924,1734093586270,1734093780424,10,1952,281088,2925,139623,54046
925,1734093586270,1734093780619,11,2028,292032,3039,138816,55058
926,1734093586270,1734093780343,11,2006,288864,3006,138397,55251
927,1734093586270,1734093780576,10,1938,279072,2904,140285,53527
928,1734093586270,1734093780349,10,1912,275328,2865,140207,53445
929,1734093586266,1734093780555,10,1932,278208,2895,139993,53862
930,1734093586247,1734093780515,10,1914,275616,2868,139844,54000
931,1734093586270,1734093780314,11,1990,286560,2982,139963,53662
932,1734093586270,1734093780533,10,1920,276480,2877,139023,54685
933,1734093586270,1734093780531,10,1912,275328,2865,140256,53584
934,1734093586270,1734093780455,15,2964,426816,4443,136166,57599
935,1734093586247,1734093780583,15,2950,424800,4422,136458,57360
936,1734093586247,1734093780496,15,2942,423648,4410,135742,58014
937,1734093586247,1734093780418,15,2942,423648,4410,135488,58256
938,1734093586266,1734093780441,15,2952,425088,4425,136761,56987
939,1734093586269,1734093780443,15,2918,420192,4374,136301,57466
940,1734093586247,1734093780568,10,1924,277056,2883,139886,53954
941,1734093586278,1734093780587,11,1986,285984,2976,139069,54720
942,1734093586269,1734093780424,11,1988,286272,2979,139516,54237
943,1734093586248,1734093780314,10,1922,276768,2880,139459,54173
944,1734093586269,1734093780578,10,1922,276768,2880,139891,53922
945,1734093586248,1734093780601,11,2016,290304,3021,138920,54870
946,1734093586248,1734093780344,10,1932,278208,2895,139631,53978
947,1734093586248,1734093780571,10,1980,285120,2967,137987,55856
948,1734093586269,1734093780570,10,1938,279072,2904,139562,54258
949,1734093586248,1734093780399,10,1938,279072,2904,139569,54140
950,1734093586248,1734093780444,10,1956,281664,2931,139149,54531
951,1734093586269,1734093780394,11,2020,290880,3027,138013,55685
952,1734093586248,1734093780424,10,1928,277632,2889,138854,54836
953,1734093586269,1734093780400,10,1904,274176,2853,141280,52436
954,1734093586269,1734093780511,16,3002,432288,4500,135051,58667
955,1734093586269,1734093780445,15,2960,426240,4437,136115,57640
956,1734093586269,1734093780589,15,2944,423936,4413,136189,57598
957,1734093586269,1734093780410,15,2950,424800,4422,136173,57545
958,1734093586268,1734093780469,16,3064,441216,4593,135163,58633
959,1734093586248,1734093780484,15,2970,427680,4452,136493,57320
960,1734093586268,1734093780579,10,1904,274176,2853,140381,53444
961,1734093586248,1734093780538,11,1986,285984,2976,138490,55363
962,1734093586268,1734093780268,10,1978,284832,2964,138704,54874
963,1734093586268,1734093780412,10,1968,283392,2949,138669,55009
964,1734093586268,1734093780624,10,1894,272736,2838,139066,54782
965,1734093586248,1734093780412,10,1938,279072,2904,139785,53914
966,1734093586268,1734093780567,11,2028,292032,3039,138768,55060
967,1734093586268,1734093780372,10,1932,278208,2895,139831,53794
968,1734093586268,1734093780318,10,1916,275904,2871,139174,54451
969,1734093586268,1734093780265,10,1948,280512,2919,139004,54463
